itemId,title,price,condition,itemDescription
v1|110555295259|0,Spark plug Tester Ignition System Coil Engine In Line Auto Diagnostic Test Tools,"['7.99', 'USD']",New,"Description: 1.Premium Materials: The probe of this spark tester is made of high quality plated shaft, the optical housing is made of environmental friendly acetate plastic, and rubber straight jacket and cable. High quality materials are resistant to rust and corrosion, even in high and low temperature environments. 2.Quick Problem Diagnosis: The Spark tester is an excellent tool for quickly and easily diagnosing ignition and finding engine problems and defects. Can also check spark plug connections, contact points, cables and other bad problems. 3.Easy to Use: Easily determine which cylinder is causing issues with this spark plug test light; Simply connect the spark detector spark plug tool between the spark plug and the plug wire then start the engine; If sparks are being sent, the in line spark tester will mirror the spark by lighting up; If checking a no start condition, have a friend crank the engine so you can watch for indications of a spark. 4.Light Indication: The product through the spark plug engine ignition tester indicator light display, determine which cylinder is causing the problem, and trace to the determined cause. Remove the spark plug wire after turning off the engine. Attach a black connector to the spark plug and insert the metal end of the tester into the spark plug wire. After starting the engine, if the ignition circuit has been completed, the bulb will flash. 5.Perfect For Your Vehicle: From small engines like motorcycles and lawn mowers to cars, trucks, boat motors, this small engine spark plug tester tool works for all internal and external combustion engines that use spark plugs. Spark plug tester apply to any household, business, mechanic, industrial and commercial spark plug use in engine. Package list: 2PCS Car Spark Plug"
v1|110555295260|0,Spark plug Tester Ignition System Coil Engine In Line Auto Diagnostic Test Tools,"['7.99', 'USD']",New,"Description: 1.Premium Materials: The probe of this spark tester is made of high quality plated shaft, the optical housing is made of environmental friendly acetate plastic, and rubber straight jacket and cable. High quality materials are resistant to rust and corrosion, even in high and low temperature environments. 2.Quick Problem Diagnosis: The Spark tester is an excellent tool for quickly and easily diagnosing ignition and finding engine problems and defects. Can also check spark plug connections, contact points, cables and other bad problems. 3.Easy to Use: Easily determine which cylinder is causing issues with this spark plug test light; Simply connect the spark detector spark plug tool between the spark plug and the plug wire then start the engine; If sparks are being sent, the in line spark tester will mirror the spark by lighting up; If checking a no start condition, have a friend crank the engine so you can watch for indications of a spark. 4.Light Indication: The product through the spark plug engine ignition tester indicator light display, determine which cylinder is causing the problem, and trace to the determined cause. Remove the spark plug wire after turning off the engine. Attach a black connector to the spark plug and insert the metal end of the tester into the spark plug wire. After starting the engine, if the ignition circuit has been completed, the bulb will flash. 5.Perfect For Your Vehicle: From small engines like motorcycles and lawn mowers to cars, trucks, boat motors, this small engine spark plug tester tool works for all internal and external combustion engines that use spark plugs. Spark plug tester apply to any household, business, mechanic, industrial and commercial spark plug use in engine. Package list: 2PCS Car Spark Plug"
v1|110555271683|0,18-Piece Screwdriver Set,"['55.25', 'USD']",New,"18-Piece Screwdriver Set 18-Piece Screwdriver Set Features and Benefits: Soft handle screwdriver and precision screwdriver set Perfect for home, auto, garage, workshop, R.V. or boat Organizing rack stands, or mounts on wall Great gift idea Multi-purpose use item Warranty: Lifetime warranty does not cover abuse Brand new fragrance bottle in original box, ready to ship out! Never been used or sprayed! All products are original, authentic name brands. We do not sell imitations. We have a commitment to quality products and authenticity. Please Note Pictures: We try to take the very best pictures possible, but please understand that there maybe some minor differences between the color you see on your monitor and the actual item. Testers are even more discounted than the fancy boxed versions and are great if you don't have a need for the fancy packaging. Testers are 100% authentic, fresh and completely full just like the original fragrance, however they are meant for the counter in a department store. Testers often come in a plain white box but sometimes they do not have a cap or box. The savings on the packaging means you save even more! Unboxed items are a great way to save! They are the same as the boxed version, always original, fresh and authentic. Why are they unboxed? Sometimes boxes can be damaged in transit, torn, or in less than perfect condition. We can buy these items cheaper than the boxed versions and we pass the savings on to you. Be sure to take advantage of great unboxed deals! Shipments to Canada will have 2 tracking codes from the supplier. The first one will be the shipment to Canada and the 2nd one will be the shipment to the local address. Contact us We can be contacted at any time through eBay messages if you have any questions, comments or product requests. We will respond to you within 24 hours and do our best to help you out! We encourage our customers to contact us with any questions or concerns! We'd like to be sure you are completely satisfied with your purchase. Payment We accept payment via PayPal accounts. PayPal allows you to pay using a major credit card or direct transfer from your bank account. Shipping Orders are shipped, on average, within 24-48 hours from the time that the order is placed. Therefore, most of your customer's orders should be received within 4-10 business days from the time that you place your order. We take the weekends and holidays off, so your items will ship the following business day. Orders can be split and shipped multiple times from multiple warehouses. International Buyers - Please note: Customs policies vary from country to country. Most small orders arrive duty free, however you may be subject to import duties and taxes once a shipment reaches your country. Charges for customs clearance must be paid by you. Unfortunately, we are not responsible and have no control over these fees. **International orders must be shipped to the cardholders address.Tracking Number will be provided on all orders. We upload tracking numbers immediately after your item ships. Returns Returns are accepted. Contact us for a return label. All other orders can be returned up to 30 days after the ship date for a full refund minus shipping charges. All merchandise must be returned in its original sealed packaging. The item must be in new condition, unworn, smoke and perfume free and complete with original tags still attached. Please note: we do not accept returns for cosmetics and skincare items due to health reasons, please make your selections carefully. We are not responsible for the shipping cost to return an order, unless we made an error. Although shipping is free when shopping at our store, any orders that are returned to us due to a package being unclaimed or undeliverable because of a wrong address, we will charge $6.95 to resend the package. If at this point you request a refund, we will refund your payment minus $6.95. (U.S only) All returns must have a tracking number. We are not responsible for the return package until the tracking number is marked as “delivered” to our facility. Oncereceived, please allow 5 - 7 business days for your return to be processed. Thanks for reading this description."
v1|110555271680|0,"5/8X20"" BEARING RACE PUNCH","['60.26', 'USD']",New,"5/8X20"" BEARING RACE PUNCH 5/8X20"" BEARING RACE PUNCH Features and Benefits: Used to remove bearing races in automotive and industrial settings Larger tips are designed for larger bearing sizes Specially heat-treated steel makes these tools ideal for stubborn bearing races Black oxide finish provides resistance against rust and corrosion American made product Bearing Race Punch, 5/8 in.; x 20 in.; Long Warranty: Lifetime warranty does not cover abuse Brand new fragrance bottle in original box, ready to ship out! Never been used or sprayed! All products are original, authentic name brands. We do not sell imitations. We have a commitment to quality products and authenticity. Please Note Pictures: We try to take the very best pictures possible, but please understand that there maybe some minor differences between the color you see on your monitor and the actual item. Testers are even more discounted than the fancy boxed versions and are great if you don't have a need for the fancy packaging. Testers are 100% authentic, fresh and completely full just like the original fragrance, however they are meant for the counter in a department store. Testers often come in a plain white box but sometimes they do not have a cap or box. The savings on the packaging means you save even more! Unboxed items are a great way to save! They are the same as the boxed version, always original, fresh and authentic. Why are they unboxed? Sometimes boxes can be damaged in transit, torn, or in less than perfect condition. We can buy these items cheaper than the boxed versions and we pass the savings on to you. Be sure to take advantage of great unboxed deals! Shipments to Canada will have 2 tracking codes from the supplier. The first one will be the shipment to Canada and the 2nd one will be the shipment to the local address. Contact us We can be contacted at any time through eBay messages if you have any questions, comments or product requests. We will respond to you within 24 hours and do our best to help you out! We encourage our customers to contact us with any questions or concerns! We'd like to be sure you are completely satisfied with your purchase. Payment We accept payment via PayPal accounts. PayPal allows you to pay using a major credit card or direct transfer from your bank account. Shipping Orders are shipped, on average, within 24-48 hours from the time that the order is placed. Therefore, most of your customer's orders should be received within 4-10 business days from the time that you place your order. We take the weekends and holidays off, so your items will ship the following business day. Orders can be split and shipped multiple times from multiple warehouses. International Buyers - Please note: Customs policies vary from country to country. Most small orders arrive duty free, however you may be subject to import duties and taxes once a shipment reaches your country. Charges for customs clearance must be paid by you. Unfortunately, we are not responsible and have no control over these fees. **International orders must be shipped to the cardholders address.Tracking Number will be provided on all orders. We upload tracking numbers immediately after your item ships. Returns Returns are accepted. Contact us for a return label. All other orders can be returned up to 30 days after the ship date for a full refund minus shipping charges. All merchandise must be returned in its original sealed packaging. The item must be in new condition, unworn, smoke and perfume free and complete with original tags still attached. Please note: we do not accept returns for cosmetics and skincare items due to health reasons, please make your selections carefully. We are not responsible for the shipping cost to return an order, unless we made an error. Although shipping is free when shopping at our store, any orders that are returned to us due to a package being unclaimed or undeliverable because of a wrong address, we will charge $6.95 to resend the package. If at this point you request a refund, we will refund your payment minus $6.95. (U.S only) All returns must have a tracking number. We are not responsible for the return package until the tracking number is marked as “delivered” to our facility. Oncereceived, please allow 5 - 7 business days for your return to be processed. Thanks for reading this description."
v1|110555281923|410109501923,V-Neck Puff Sleeved Smocked Waist Detail Mid-Length Dress,"['26.99', 'USD']",New with tags,"Elevate your wardrobe with our V-Neck Puff Sleeved Smocked Waist Mid-Length Dress. Effortlessly chic and flattering, this dress features a stylish v-neckline, elegant puff sleeves, and a charming smocked waist detail. Perfect for any occasion, from brunch dates to evening soirées, this dress will have you turning heads wherever you go. Shop now and add a touch of sophistication to your look! Material: 100% Polyester MEASUREMENTS: Product Length ""47-48.5""in 4-6-Small | Waist: 25""-26.5""in | Chest: 33""-34.5""in 8-10-Medium | Waist: 26.5""-28""in | Chest: 34.5""-36""in 12-14-Large | Waist: 28""-29.5""in | Chest: 36""-37.5""in 16-18-XL | Waist: 29.5""-31""in | Chest: 37.5""-39""in 20-22-XXL | Waist: 31""-32.5""in | Chest: 39""-40.5""in Measurements: Product Length ""119.5-122""cm 4-6-Small | Waist: 63-66cm | Chest: 83-86cm 8-10-Medium | Waist: 67-71cm | Chest: 87-91cm 12-14-Large | Waist: 71-75cm | Chest: 91-95cm 16-18-XL | Waist: 75-79cm | Chest: 95-99cm 20-22-XXL | Waist: 79-83cm | Chest: 99-103cm"
v1|110555295253|0,VEVOR 7ft Billiards Table Pool Table Set Black Cloth for Family Game Room,"['600.00', 'USD']",New,"Product Description Billiard table: Get a moment to relax & Let go of your worries Looking for a competition-level billiard table? Our billiards table is just what you need. With a table weight exceeding 240 pounds, ultra-stable leg design, exquisite metal corners and pocket design, and flawless thick felt, you can play confidently without fear! Our billiard tables are made of thickened MDF fiberboard. Quality begins with the raw materials, giving you peace of mind. Our pool table set come with a full set of accessories, so you don't have to worry about purchasing additional sets. Upon receiving the billiard table, you'll find the tabletop pre-installed, simply attach the legs to start playing immediately. General advice: Please do not place it in direct sunlight, rain, or humid areas. When not in use, it is recommended to cover it with a dust and rain protective cover. A good billiard table significantly enhances the playing experience. Suitable for home/club/lounge/villa/company recreational use, our tables are made with genuine materials and offer a smooth playing experience, letting you enjoy the quality of a competition-level billiard table. Features & Details Weight-Bearing and Stability: Chosen for its MDF fiberboard, which is scratch-resistant, wear-resistant, moisture-proof, and anti-corrosive, ensuring durability. The billiard table's weight exceeds 240 pounds, with ultra-stable leg design, providing you with championship-quality billiard gameplay. Professional Playing Feel: The pool table features a thickened felt cloth that resists pilling and friction, allowing for smooth ball movement. Metal corners designed to prevent collisions, ensuring safer play. Exquisite pocket design prevents balls from flying out and cushions the impact of balls entering, offering a professional playing experience. Complete Accessories: Comes with a full set of billiard accessories. Order now to receive American-style pool balls: 1 box, 1 plastic triangle, 1 plastic brush, 2 cue sticks, 4 black leveling shims and 2 chalks. Easy to Assemble: No need to worry about complicated assembly. The billiard table set is pre-assembled when you receive it; you only need to attach the legs to start enjoying. Clear assembly step instructions will also be provided. Suitable for Multiple Scenarios: The game room pool table is designed in a modern rustic style, easily beautifying your home space while offering both aesthetic appeal and entertainment functionality, giving you a championship-level quality experience. Suitable for home/club/lounge/villa/company entertainment. Do not place the billiard table in direct sunlight, rain, or damp conditions. It is recommended to cover it with a dust and rain protective cover when not in use to extend its lifespan."
v1|110555274331|410109499506,PLUS SIZE Womens Sexy Lingerie Nightwear Sleepwear Dress With Handcuffs M/6XL,"['19.99', 'USD']",New without tags,"PLUS SIZE Womens Sexy Lingerie Nightwear Sleepwear Dress With Handcuffs M/6XL PLUS SIZE Womens Sexy Lingerie Nightwear Sleepwear Dress With Handcuffs M/6XL Condition:Brand New and high quality Size: M/XL/2XL/3XL/4XL/5XL/6XL Colour: Purple/Red/Black/hot Pink Package include: Sexy Lingerie Babydoll + G-string,No stocking included The following is the size chat for your reference: Payment Delivery details Terms of sales About us Contact us 1.We accept the paypal payment only.Buyer's shipping address must be confirmed onPAYPAL or inform us when you pay by Paypal.We only ship to the paypal registered address. 2.So please be assure your address in paypal is correct and valid. 3.Payment must be paid within 7 days of purchase ,no payment will result in unpaid dispute. 4.If buyer required to cancel bid for their mistake or any other personal reasons, 5% of the total price is charged for relisting and restocking fee."
v1|110555270301|410109497909,Not For Sale | Sellbery T-Shirts Origin,"['59.90', 'USD']",New with tags,"The Go-To Comortable Tee – Great for work, school, and even relaxing at home. True Classic Tees are created with buttery soft fabric for maximum comfort, even boasting screen-printed tags to avoid itching and irritation., Designed for Guys' bodies – Built to accentuate the arms and shoulders, True Classic Tees fit the way shirts should, helping you look and feel great with each use., The True Classic Way – Donating over 40,000 shirts every month. True Classic tees gives back to the community with every purchase made with donations to veterans, homeless shelters, schools & local communities in need., Premium Material Blend – True Classic Tees are made with a durable blend of 90% Ringspun Cotton and 10% Polyester Jersey, helping reduce shrinking and stiffness after washing."
v1|110555274691|410109499536,US Women's Plaid Mini Dress High Waist A-line Pleated Layers Tennis Golf Skirts,"['6.15', 'USD']",New with tags,"Specifications: *100% Brand new and high quality. Description: Size:waist 65-90cm Color: as show Material: Polyester Waistline: empire Skirt length:Super mini Pattern:plaid,solid color Season:summer Garment:Hand washing or machine washing,line dry. Note: 1.Due to the light and screen difference, the item's color may be slightly different from the pictures. Please understand. 2.Please allow 2-3% error due to manual measurement.Please make sure you don’t mind before you mid. Package:1 pcs skirt Size Chart Tag Size Waist cm | inch One Size 65-90cm | 25.5''-35.4'' Note:1. 1cm=0.39 inch; 2. Item size information manual measurement may exist 1-3cm difference; 3. It is suggested that the size of Asia is small."
v1|110555274688|410109499954,US Women's Plaid Mini Dress High Waist A-line Pleated Layers Tennis Golf Skirts,"['6.15', 'USD']",New with tags,"Specifications: *100% Brand new and high quality. Description: Size:waist 65-90cm Color: as show Material: Polyester Waistline: empire Skirt length:Super mini Pattern:plaid,solid color Season:summer Garment:Hand washing or machine washing,line dry. Note: 1.Due to the light and screen difference, the item's color may be slightly different from the pictures. Please understand. 2.Please allow 2-3% error due to manual measurement.Please make sure you don’t mind before you mid. Package:1 pcs skirt Size Chart Tag Size Waist cm | inch One Size 65-90cm | 25.5''-35.4'' Note:1. 1cm=0.39 inch; 2. Item size information manual measurement may exist 1-3cm difference; 3. It is suggested that the size of Asia is small."
